TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  382,   128.46150473,659902.14281569,   210.58217530,   195.00001116,
  383,   227.58133361,659841.01988435,   210.58101854,   195.00001116,
  384,   349.91449656,660529.51233855,   210.59404830,     0.00001119,
  385,   386.84780605,661855.68444295,   210.61914619,     0.00001124,
  386,   193.49140433,662900.29498110,   210.63891550,     0.00001128,
  387,    96.87156676,663422.94828826,   210.64880674,     0.00001130,
  388,    48.64566760,663684.87926927,   210.65376380,     0.00001131,
  389,    24.63281549,663816.78049818,   210.65626004,     0.00001131,
  390,    12.73107856,663533.03546658,   210.65089015,   195.00001130,
  391,     9.85316485,662871.68706418,   210.63837409,   195.00001128,
  392,    23.36223532,662229.47474380,   210.62622019,   195.00001125,
  393,    30.20493918,661623.89561744,   210.61475957,   195.00001123,
  394,    15.88361137,661355.85496813,   210.60968688,     0.00001122,
  395,     8.78924738,661400.26607347,   210.61052737,     0.00001122,
  396,     5.29345773,661425.61490217,   210.61100710,     0.00001122,
  397,     3.58315002,661441.59275561,   210.61130948,     0.00001122,
  398,     2.75920361,661453.00895172,   210.61152553,     0.00001122,
  399,     2.37350875,661111.24779363,   210.60505768,   195.00001121,
  400,    20.02230079,660449.56021066,   210.59253520,   195.00001119,
  401,    28.86584407,659835.55883127,   210.58091519,   195.00001116,
  402,    33.30298019,659245.46267491,   210.56974759,   195.00001114,
  403,    35.53395833,658667.36912409,   210.55880714,   195.00001112,
  404,    18.83976882,658063.24179292,   210.54737399,   195.00001109,
  405,    10.50113890,657414.05538707,   210.53508810,   195.00001107,
  406,     6.33901239,656742.36761952,   210.52237637,   195.00001104,
  407,    22.08364071,656442.52835537,   210.51670190,     0.00001103,
  408,    12.15040308,656504.14959436,   210.51786808,     0.00001104,
  409,     7.21292831,656539.00355125,   210.51852770,     0.00001104,
  410,     4.79024671,656560.60922638,   210.51893659,     0.00001104,
  411,     3.64922089,656575.80022827,   210.51922408,     0.00001104,
  412,     3.17812210,656588.08940573,   210.51945665,     0.00001104,
  413,     3.06026470,656599.31846219,   210.51966916,     0.00001104,
  414,     3.12395722,656259.45002185,   210.51323713,   195.00001103,
  415,     3.27613335,655568.97014518,   210.50016976,   195.00001100,
  416,    21.28666253,654911.18313828,   210.48772110,   195.00001098,
  417,    30.39476477,654302.20966783,   210.47619625,   195.00001095,
  418,    17.21906033,653685.91451350,   210.46453283,   195.00001093,
  419,   101.29356519,653197.23720027,   210.45528458,   195.00001091,
  420,   143.39079199,652935.66900411,   210.45033439,   195.00001090,
  421,   164.48327184,652787.84227977,   210.44753676,   195.00001090,
  422,   102.30089330,652566.05373798,   210.44333940,   195.00001089,
  423,    71.24027223,652176.42779656,   210.43596570,   195.00001087,
  424,   346.79504625,652226.89133058,   210.43692073,   195.00001087,
  425,   484.59451668,653021.39250465,   210.45195671,   195.00001090,
  426,   480.74696070,654057.00712448,   210.47155577,   195.00001094,
  427,   406.07253438,654951.28217636,   210.48847998,   195.00001098,
